N,lambda1,lambda2,lambda3
120,6.212000992578396,15.768235026769478,28.319679013317746
121,6.212000992514401,15.768235026764158,28.319679013329733
122,6.212000992516914,15.768235026770707,28.31967901332374
123,6.212000992541742,15.768235026768044,28.319679013318908
124,6.21200099242469,15.768235026758427,28.319679013318137
125,6.212000992445973,15.768235026757608,28.31967901332935
126,6.212000992521643,15.7682350267572,28.319679013323547
127,6.212000992603225,15.768235026760884,28.319679013329733
128,6.212000992389294,15.76823502675229,28.319679013352925
129,6.212000992389222,15.768235026761703,28.31967901331697
130,6.212000992483661,15.768235026757608,28.319679013326642
131,6.212000992493268,15.768235026752699,28.319679013327033
132,6.2120009925379005,15.768235026761703,28.319679013327416
133,6.212000992527111,15.768235026758376,28.31967901332084
134,6.2120009924453825,15.768235026760882,28.319679013315817
135,6.212000992538205,15.768235026753924,28.319679013322002
136,6.212000992448857,15.768235026755152,28.31967901332674
137,6.212000992526374,15.768235026751874,28.319679013329736
138,6.212000992448634,15.768235026760578,28.319679013329733
139,6.212000992390994,15.768235026751366,28.319679013331278
140,6.21200099246962,15.768235026762522,28.319679013328674
141,6.2120009924291235,15.768235026752697,28.319679013320453
142,6.212000992445973,15.768235026755153,28.319679013326642
143,6.212000992512203,15.768235026744565,28.319679013326642
144,6.212000992559625,15.768235026747787,28.319679013322776
145,6.212000992483809,15.76823502675106,28.319679013329733
146,6.212000992492159,15.76823502675106,28.319679013317362
147,6.212000992483956,15.768235026747785,28.319679013322194
148,6.212000992635149,15.768235026748606,28.319679013323544
149,6.212000992483809,15.768235026744513,28.319679013335918
150,6.212000992521643,15.768235026744513,28.31967901332161
151,6.212000992422326,15.76823502674538,28.319679013328376
152,6.212000992521052,15.768235026747787,28.319679013316588
153,6.212000992493858,15.768235026750242,28.319679013317362
154,6.212000992427065,15.76823502674697,28.31967901332055
155,6.212000992455469,15.76823502674881,28.319679013326642
156,6.212000992379762,15.768235026750805,28.319679013331665
157,6.212000992275715,15.768235026742875,28.319679013335822
158,6.212000992522252,15.768235026742875,28.319679013326546
159,6.21200099251322,15.768235026744513,28.319679013329733
160,6.212000992474645,15.768235026748604,28.319679013328187
161,6.212000992332764,15.76823502675106,28.31967901332451
162,6.212000992518687,15.76823502674262,28.319679013323537
163,6.212000992521643,15.768235026751164,28.319679013328575
164,6.212000992430602,15.76823502674697,28.319679013326258
165,6.212000992445973,15.768235026741342,28.319679013326642
166,6.212000992445825,15.768235026737964,28.319679013325185
167,6.212000992436661,15.7682350267439,28.319679013328958
168,6.212000992521643,15.76823502674088,28.31967901332161
169,6.21200099240688,15.768235026744513,28.319679013322776
170,6.212000992441539,15.768235026743287,28.319679013328187
171,6.212000992483809,15.768235026739546,28.319679013331278
172,6.212000992474053,15.768235026736328,28.319679013325867
173,6.212000992445972,15.768235026741646,28.31967901333012
174,6.212000992512037,15.768235026744513,28.319679013323544
175,6.212000992370305,15.768235026741237,28.319679013326738
176,6.212000992408138,15.7682350267351,28.319679013316975
177,6.21200099237252,15.768235026742875,28.31967901332316
178,6.2120009924246915,15.768235026734281,28.319679013317362
179,6.212000992436515,15.768235026741442,28.319679013327416
180,6.212000992200055,15.768235026741237,28.319679013332436
181,6.212000992370453,15.768235026735919,28.319679013333985
182,6.21200099244479,15.768235026734894,28.319679013323743
183,6.21200099244712,15.768235026732949,28.319679013322006
184,6.212000992370303,15.76823502673346,28.319679013328187
185,6.212000992445973,15.768235026737145,28.319679013329733
186,6.212000992597313,15.76823502673377,28.319679013331278
187,6.212000992521643,15.768235026731823,28.319679013331083
188,6.212000992379762,15.768235026731414,28.319679013325477
189,6.212000992408138,15.768235026734995,28.319679013334373
190,6.212000992294633,15.768235026737964,28.31967901332954
191,6.212000992323083,15.768235026736532,28.319679013326255
192,6.212000992372371,15.768235026735509,28.319679013329736
193,6.212000992437114,15.768235026735098,28.319679013328958
194,6.21200099240932,15.76823502672507,28.3196790133278
195,6.289297485351517,15.768235026738067,28.31967901332819
196,6.212000992677417,15.768235026735098,28.319679013323935
197,6.212000992299362,15.76823502673469,28.319679013326642
198,6.2120009923704504,15.768235026731414,28.319679013329733
199,6.212000992370913,15.768235026733052,28.319679013326645
200,6.212000992417597,15.7682350267396,28.319679013325093
